Rank,ID,Sim_X,Sim_Y
1,cluster_15159499_18038479_21113262_347787163_8851291,1318.73,1365.1
2,cluster_12247700_12529558,490.0,1517.39
3,348243041,1355.86,1566.67
4,17574061,1613.66,1704.3
5,26841354,1879.92,1613.34
6,1391319738,1108.23,1394.4
7,16933971,935.19,1922.19
8,19755457,742.87,1547.94
9,89119479,1977.41,1232.5
10,26841336,2130.12,1638.1
11,cluster_347349857_347349858,292.67,1397.33
12,21970003,1392.58,1092.75
13,252726522,2158.72,662.68
14,12247702,570.17,1877.29
15,12452103,2465.68,599.21
16,17574097,1903.33,1893.86
17,19755421,1418.3,1995.08
18,26841358,2169.45,1325.0
19,cluster_314448309_824235741,844.84,1218.26
20,1154372516,2359.91,1065.48
21,14319161,219.06,933.71
22,21970024,1584.96,1011.36
23,cluster_1291385696_21971288,2460.99,1244.2
24,314448358,749.74,1024.72
25,19769114,192.7,703.29
