ID,X,Y,Throughput_bps
0,1268.75,1665.05,0.0
1,440.02,1817.34,0.0
2,242.64,1697.32,0.0
3,1829.94,1913.33,0.0
4,1563.7,2004.3,0.0
5,1305.88,1866.67,0.0
6,885.22,2222.14,0.0
7,714.28,2197.69,0.0
8,692.84,1847.94,0.0
9,520.19,2177.31,0.0
10,169.06,1233.73,0.0
11,142.71,1003.26,0.0
12,794.81,1518.29,0.0
13,883.37,1827.64,0.0
14,1927.38,1532.46,0.0
15,1942.64,2052.05,0.0
16,1716.29,1762.92,0.0
17,1342.57,1392.77,0.0
18,1853.32,2193.85,0.0
19,2080.14,1938.05,0.0
20,1573.51,2203.04,0.0
21,155.82,1847.75,0.0
22,2309.88,1365.53,0.0
23,490.79,1963.62,0.0
24,1029.42,2301.76,0.0
25,822.93,2068.1,0.0
26,789.11,2388.17,0.0
27,2119.45,1625.02,0.0
28,335.45,1526.37,0.0
29,2415.71,899.22,0.0
30,1058.25,1694.45,0.0
31,1037.34,1850.95,0.0
32,1368.33,2295.04,0.0
33,1534.98,1311.38,0.0
34,2108.7,962.71,0.0
35,2532.32,2318.54,0.0
36,699.71,1324.75,0.0
37,413.96,885.69,0.0
38,2034.76,1122.95,0.0
39,2410.97,1544.22,0.0
