ID,Rel_X,Rel_Y,Lat,Lon,PDR
Grid_170,1275.0,1425.0,49.57392218257798,11.01587778459934,24.76
Grid_190,1425.0,1425.0,49.57388603512938,11.017951230220744,22.67
Grid_171,1275.0,1575.0,49.57527055416847,11.015933343586235,18.97
Grid_150,1125.0,1425.0,49.57395829290038,11.013804334803188,18.8
Grid_69,525.0,1275.0,49.57275398243869,11.005455224384749,18.71
Grid_169,1275.0,1275.0,49.57257381062573,11.015822229787188,17.52
Grid_210,1575.0,1425.0,49.57384985055479,11.02002467166313,16.76
Grid_172,1275.0,1725.0,49.57661892539718,11.01598890674828,14.84
Grid_211,1575.0,1575.0,49.57519821871944,11.020080344751811,14.37
Grid_191,1425.0,1575.0,49.57523440500785,11.01800684625874,12.15
