snapshot_no,time,vehicle_id,x,y
1,10.0,0,645164.94,5493349.93
1,10.0,1,646514.76,5493438.03
1,10.0,10,646504.57,5493811.67
1,10.0,11,644894.23,5493566.32
1,10.0,12,644812.59,5493339.81
1,10.0,13,645751.84,5493560.76
1,10.0,14,646307.82,5493701.59
1,10.0,15,646169.29,5493598.15
1,10.0,16,646120.48,5493674.4
1,10.0,17,644643.08,5493511.47
1,10.0,18,645185.3,5493869.33
1,10.0,19,644978.19,5493902.18
1,10.0,2,644835.59,5493517.94
1,10.0,20,646317.76,5493553.93
1,10.0,22,646402.9,5493335.98
1,10.0,24,645174.66,5494033.55
1,10.0,25,646331.06,5493370.64
1,10.0,26,646327.8,5493354.35
1,10.0,27,645517.62,5493559.33
1,10.0,28,646289.04,5493856.86
1,10.0,29,646298.29,5493688.86
1,10.0,3,646360.91,5493452.05
1,10.0,30,645368.79,5494025.04
1,10.0,31,645185.37,5493764.12
1,10.0,32,644748.8,5493466.36
1,10.0,33,646882.26,5492708.13
1,10.0,34,646348.5,5493773.63
1,10.0,35,646336.76,5493424.14
1,10.0,36,644853.25,5493491.97
1,10.0,37,646288.16,5493264.1
1,10.0,38,645992.98,5493099.88
1,10.0,39,645736.34,5493310.33
1,10.0,4,646274.25,5493239.93
1,10.0,40,646026.69,5493766.86
1,10.0,41,645744.21,5493205.99
1,10.0,42,645732.72,5493295.17
1,10.0,43,645097.51,5493842.64
1,10.0,44,646512.73,5493780.37
1,10.0,45,644677.0,5493607.09
1,10.0,46,645347.27,5493660.39
1,10.0,47,644721.96,5493509.37
1,10.0,48,645640.51,5493670.18
1,10.0,5,644837.44,5493565.5
1,10.0,6,645788.25,5493653.61
1,10.0,7,646473.07,5493307.28
1,10.0,8,645734.41,5493162.7
1,10.0,9,646023.14,5493789.39
2,12.0,0,645124.34,5493368.73
2,12.0,1,646489.45,5493443.78
2,12.0,10,646503.76,5493804.64
2,12.0,11,644901.09,5493586.54
2,12.0,12,644822.59,5493366.07
2,12.0,13,645741.03,5493556.9
2,12.0,14,646280.56,5493699.27
2,12.0,15,646174.63,5493573.13
2,12.0,16,646096.54,5493670.33
2,12.0,17,644657.02,5493511.5
2,12.0,18,645184.62,5493894.74
2,12.0,19,644975.06,5493870.27
2,12.0,2,644853.05,5493557.08
2,12.0,20,646320.84,5493537.4
2,12.0,22,646410.38,5493350.91
2,12.0,24,645177.04,5494007.04
2,12.0,25,646332.61,5493385.24
2,12.0,26,646330.74,5493367.66
2,12.0,27,645513.45,5493583.07
2,12.0,28,646285.31,5493842.6
2,12.0,29,646295.69,5493684.68
2,12.0,3,646344.15,5493451.45
2,12.0,30,645381.82,5494022.88
2,12.0,31,645185.24,5493789.86
2,12.0,32,644714.66,5493487.01
2,12.0,33,646879.12,5492721.97
2,12.0,34,646350.84,5493745.96
2,12.0,35,646338.71,5493440.78
2,12.0,36,644870.05,5493495.1
2,12.0,37,646280.11,5493249.64
2,12.0,38,645977.31,5493109.0
2,12.0,39,645735.28,5493342.94
2,12.0,4,646262.48,5493253.19
2,12.0,40,646026.06,5493736.37
2,12.0,41,645736.58,5493226.81
2,12.0,42,645736.34,5493280.09
2,12.0,43,645123.95,5493842.42
2,12.0,44,646521.36,5493764.49
2,12.0,45,644692.0,5493600.64
2,12.0,46,645338.82,5493687.81
2,12.0,47,644713.39,5493492.07
2,12.0,48,645621.56,5493690.21
2,12.0,5,644841.37,5493539.08
2,12.0,6,645772.19,5493652.18
2,12.0,7,646490.26,5493324.72
2,12.0,8,645734.97,5493178.19
2,12.0,9,646027.01,5493781.99
3,14.0,0,645081.74,5493388.61
3,14.0,1,646463.9,5493448.07
3,14.0,10,646510.01,5493787.72
3,14.0,11,644912.35,5493592.41
3,14.0,12,644833.1,5493393.03
3,14.0,13,645736.66,5493531.22
3,14.0,14,646253.36,5493695.66
3,14.0,15,646178.29,5493556.08
3,14.0,16,646072.64,5493666.27
3,14.0,17,644666.87,5493531.22
3,14.0,18,645183.64,5493920.58
3,14.0,19,644970.81,5493838.51
3,14.0,2,644818.1,5493577.98
3,14.0,20,646323.47,5493520.77
3,14.0,22,646415.79,5493366.62
3,14.0,24,645177.7,5493990.25
3,14.0,25,646334.16,5493399.85
3,14.0,26,646332.18,5493381.2
3,14.0,27,645509.42,5493606.8
3,14.0,28,646283.56,5493827.58
3,14.0,29,646298.05,5493669.19
3,14.0,3,646359.37,5493448.81
3,14.0,30,645394.8,5494001.24
3,14.0,31,645185.04,5493815.61
3,14.0,32,644736.57,5493531.71
3,14.0,33,646866.31,5492706.86
3,14.0,34,646353.03,5493719.97
3,14.0,35,646338.32,5493458.13
3,14.0,36,644878.52,5493520.05
3,14.0,37,646269.65,5493245.02
3,14.0,38,645953.02,5493119.29
3,14.0,39,645734.97,5493375.57
3,14.0,4,646251.24,5493266.01
3,14.0,40,646025.2,5493705.89
3,14.0,41,645737.08,5493251.68
3,14.0,42,645736.67,5493300.44
3,14.0,43,645150.42,5493842.21
3,14.0,44,646530.04,5493748.67
3,14.0,45,644706.91,5493611.8
3,14.0,46,645329.14,5493714.96
3,14.0,47,644716.84,5493477.6
3,14.0,48,645602.61,5493710.24
3,14.0,5,644831.52,5493505.35
3,14.0,6,645763.84,5493629.63
3,14.0,7,646508.15,5493341.41
3,14.0,8,645735.52,5493193.62
3,14.0,9,646026.64,5493764.63
4,16.0,0,645039.01,5493408.15
4,16.0,1,646438.22,5493451.72
4,16.0,10,646517.57,5493771.4
4,16.0,11,644934.59,5493581.68
4,16.0,12,644843.62,5493420.02
4,16.0,13,645731.64,5493500.66
4,16.0,14,646226.17,5493692.1
4,16.0,15,646178.11,5493572.11
4,16.0,16,646048.76,5493662.06
4,16.0,17,644679.78,5493558.41
4,16.0,18,645182.62,5493946.43
4,16.0,19,644966.55,5493806.73
4,16.0,2,644786.65,5493592.55
4,16.0,20,646326.42,5493504.18
4,16.0,22,646420.19,5493382.73
4,16.0,24,645193.62,5493982.69
4,16.0,25,646335.71,5493414.46
4,16.0,26,646333.62,5493394.74
4,16.0,27,645505.23,5493630.55
4,16.0,28,646283.74,5493812.46
4,16.0,29,646300.42,5493653.68
4,16.0,3,646386.5,5493449.54
4,16.0,30,645410.57,5493974.64
4,16.0,31,645185.99,5493841.32
4,16.0,32,644754.36,5493567.69
4,16.0,33,646839.45,5492700.35
4,16.0,34,646352.99,5493704.62
4,16.0,35,646334.79,5493477.21
4,16.0,36,644887.36,5493546.09
4,16.0,37,646258.53,5493257.69
4,16.0,38,645928.25,5493129.78
4,16.0,39,645735.56,5493408.18
4,16.0,4,646240.0,5493278.82
4,16.0,40,646024.75,5493675.36
4,16.0,41,645737.34,5493276.38
4,16.0,42,645735.77,5493327.96
4,16.0,43,645172.13,5493842.04
4,16.0,44,646538.74,5493732.81
4,16.0,45,644732.3,5493612.87
4,16.0,46,645316.85,5493741.04
4,16.0,47,644739.76,5493467.01
4,16.0,48,645583.68,5493730.26
4,16.0,5,644848.48,5493493.89
4,16.0,6,645754.42,5493602.08
4,16.0,7,646526.88,5493357.19
4,16.0,8,645736.07,5493209.91
4,16.0,9,646026.16,5493741.34
5,18.0,0,644996.3,5493427.69
5,18.0,1,646412.39,5493453.43
5,18.0,10,646526.24,5493755.6
5,18.0,11,644963.56,5493567.8
5,18.0,12,644853.78,5493447.11
5,18.0,13,645716.96,5493476.58
5,18.0,14,646199.1,5493687.88
5,18.0,15,646172.78,5493597.11
5,18.0,16,646032.52,5493659.43
5,18.0,17,644696.08,5493592.75
5,18.0,18,645181.65,5493969.55
5,18.0,19,644960.54,5493775.33
5,18.0,2,644771.25,5493598.82
5,18.0,20,646329.61,5493487.65
5,18.0,22,646423.62,5493399.04
5,18.0,24,645220.09,5493983.33
5,18.0,25,646337.3,5493428.82
5,18.0,26,646335.06,5493408.29
5,18.0,27,645499.52,5493654.01
5,18.0,28,646283.93,5493797.34
5,18.0,29,646302.79,5493638.19
5,18.0,3,646411.38,5493450.2
5,18.0,30,645426.87,5493947.92
5,18.0,31,645185.37,5493867.06
5,18.0,32,644764.19,5493587.56
5,18.0,33,646803.54,5492701.56
5,18.0,34,646331.95,5493702.37
5,18.0,35,646331.21,5493496.28
5,18.0,36,644896.2,5493572.12
5,18.0,37,646247.41,5493270.37
5,18.0,38,645903.48,5493140.26
5,18.0,39,645737.48,5493430.52
5,18.0,4,646228.77,5493291.6
5,18.0,40,646009.16,5493657.01
5,18.0,41,645736.65,5493300.98
5,18.0,42,645734.83,5493356.44
5,18.0,43,645169.83,5493845.26
5,18.0,44,646527.59,5493721.63
5,18.0,45,644765.49,5493598.66
5,18.0,46,645305.68,5493767.66
5,18.0,47,644770.16,5493452.96
5,18.0,48,645564.73,5493750.29
5,18.0,5,644864.9,5493490.19
5,18.0,6,645747.72,5493574.14
5,18.0,7,646545.07,5493373.56
5,18.0,8,645736.74,5493232.81
5,18.0,9,646025.38,5493717.68
6,20.0,0,644953.58,5493447.22
6,20.0,1,646386.46,5493452.74
6,20.0,10,646534.93,5493739.75
6,20.0,11,644995.34,5493555.55
6,20.0,12,644863.08,5493474.54
6,20.0,13,645704.72,5493466.22
6,20.0,14,646172.1,5493683.32
6,20.0,15,646167.43,5493622.16
6,20.0,16,646012.78,5493657.29
6,20.0,17,644723.89,5493616.41
6,20.0,18,645186.68,5493982.52
6,20.0,19,644952.21,5493744.36
6,20.0,2,644769.6,5493598.64
6,20.0,20,646332.67,5493471.1
6,20.0,22,646426.41,5493415.55
6,20.0,24,645247.04,5493983.98
6,20.0,25,646338.85,5493441.9
6,20.0,26,646336.34,5493420.36
6,20.0,27,645491.13,5493676.58
6,20.0,28,646284.11,5493782.41
6,20.0,29,646305.15,5493622.7
6,20.0,3,646411.12,5493453.4
6,20.0,30,645443.26,5493921.22
6,20.0,31,645184.67,5493892.79
6,20.0,32,644775.38,5493594.25
6,20.0,33,646760.0,5492703.03
6,20.0,34,646304.54,5493701.48
6,20.0,35,646327.58,5493515.34
6,20.0,36,644902.08,5493589.43
6,20.0,37,646236.29,5493283.04
6,20.0,38,645878.72,5493150.75
6,20.0,39,645738.99,5493446.72
6,20.0,4,646217.55,5493304.4
6,20.0,40,645978.75,5493654.89
6,20.0,41,645735.83,5493325.91
6,20.0,42,645735.14,5493384.93
6,20.0,43,645145.22,5493845.45
6,20.0,44,646499.99,5493714.88
6,20.0,45,644805.13,5493580.47
6,20.0,46,645297.79,5493795.34
6,20.0,47,644799.05,5493439.61
6,20.0,48,645545.77,5493770.32
6,20.0,5,644874.97,5493509.6
6,20.0,6,645742.29,5493545.81
6,20.0,7,646563.26,5493389.95
6,20.0,8,645737.17,5493258.71
6,20.0,9,646025.03,5493694.01
7,22.0,0,644912.07,5493464.63
7,22.0,1,646360.56,5493452.04
7,22.0,10,646537.57,5493724.18
7,22.0,11,645027.5,5493544.13
